REFERANS_YIL;BULTEN_NO;KAPSAMICI_KAPSAMDISI;BT_BILG_MASAUSTU;BT_BILG_DIZUSTU;BT_TABLET;BT_TEL_CEP;BT_DIGER_CIHAZ;HANE_INTERNET_ERISIM_DURUMU;hane_aylik_gelir_grp_5;HHB;IBBS_1;HANE_FAKTOR
2023;10011;1;2;1;2;1;2;1;2;1;TR1;4107.325497
2023;10012;1;2;1;1;1;1;1;2;1;TR1;4852.032646
2023;10013;1;2;2;2;1;2;1;1;1;TR1;4034.256095
2023;10014;1;2;2;2;1;1;1;5;6;TR1;7267.153007
2023;10015;1;2;2;2;1;2;1;1;1;TR1;4107.325497
2023;10016;1;2;1;2;1;2;1;5;2;TR1;4725.305476
2023;10017;1;2;2;2;1;1;1;2;5;TR1;3423.735422
2023;10018;1;2;2;2;1;2;1;1;1;TR1;4034.256095
2023;10021;1;2;1;2;1;2;1;3;3;TR1;3355.971855
2023;10022;1;2;1;1;1;2;1;4;1;TR1;4896.837443
2023;10023;1;2;2;1;1;2;1;4;2;TR1;1960.515435
2023;10024;1;2;2;2;1;2;1;5;5;TR1;1907.914707
2023;10025;1;2;2;1;1;1;1;4;3;TR1;2062.202295
2023;10026;1;2;1;1;1;2;1;3;2;TR1;3096.614013
2023;10027;1;2;2;2;1;2;1;4;6;TR1;4522.428305
2023;10028;1;2;2;2;1;2;1;3;2;TR1;3179.789436
2023;10031;1;2;1;2;1;2;1;4;3;TR1;2856.985682
2023;10033;1;2;1;2;1;1;1;5;3;TR1;1417.893892
2023;10036;1;2;2;2;1;2;1;5;12;TR1;3918.597795
2023;10037;1;2;2;2;1;2;1;3;1;TR1;4905.294972
2023;10039;1;1;1;1;1;1;1;2;5;TR1;1312.985382
2023;10041;1;2;1;1;1;1;1;5;4;TR1;3367.843724
2023;10042;1;2;1;1;1;1;1;3;3;TR1;4066.812325
2023;10043;1;2;2;2;1;1;1;4;2;TR1;5504.288873
2023;10044;1;2;2;2;1;2;1;3;6;TR1;6088.906798
2023;10045;1;2;1;2;1;1;1;1;3;TR1;3997.722053
2023;10046;1;2;2;1;1;1;1;1;2;TR1;3099.620553
2023;10047;1;2;1;1;1;2;1;4;5;TR1;5615.865433
2023;10048;1;2;2;2;1;2;1;4;2;TR1;3179.789436
2023;10049;1;2;2;2;1;2;1;1;2;TR1;3112.245152
2023;10051;1;2;1;1;1;1;1;5;4;TR1;4733.601251
2023;10052;1;2;2;2;1;2;1;2;2;TR1;3398.779878
2023;10053;1;2;2;2;1;2;1;4;2;TR1;1979.017566
2023;10054;1;2;1;2;1;2;1;3;3;TR1;2153.7037
