BULTEN_NO,BT_BILG_MASAUSTU,BT_BILG_DIZUSTU,BT_TABLET,BT_TEL_CEP,BT_DIGER_CIHAZ,SON_KULLANIM_ETICARET,YAS,hane_aylik_gelir_grp_5,E_TICARET_YAPTI_MI
10011,2,1,2,1,2,90.0,45,2,0
10012,2,1,1,1,1,1.0,25,2,1
10013,2,2,2,1,2,90.0,58,1,0
10014,2,2,2,1,1,1.0,25,5,1
10014,2,2,2,1,1,90.0,40,5,0
10014,2,2,2,1,1,1.0,19,5,1
10014,2,2,2,1,1,90.0,49,5,0
10014,2,2,2,1,1,2.0,21,5,1
10015,2,2,2,1,2,90.0,50,1,0
10016,2,1,2,1,2,90.0,37,5,0
10016,2,1,2,1,2,1.0,28,5,1
10017,2,2,2,1,1,90.0,39,2,0
10017,2,2,2,1,1,1.0,37,2,1
10018,2,2,2,1,2,90.0,62,1,0
10021,2,1,2,1,2,90.0,64,3,0
10021,2,1,2,1,2,1.0,20,3,1
10021,2,1,2,1,2,90.0,58,3,0
10022,2,1,1,1,2,1.0,39,4,1
10023,2,2,1,1,2,1.0,42,4,1
10024,2,2,2,1,2,90.0,49,5,0
10025,2,2,1,1,1,1.0,47,4,1
10026,2,1,1,1,2,1.0,34,3,1
10027,2,2,2,1,2,2.0,18,4,1
10027,2,2,2,1,2,90.0,36,4,0
10027,2,2,2,1,2,1.0,19,4,1
10028,2,2,2,1,2,90.0,68,3,0
10028,2,2,2,1,2,90.0,64,3,0
100210,1,1,1,1,1,1.0,35,5,1
100210,1,1,1,1,1,90.0,63,5,0
100210,1,1,1,1,1,1.0,22,5,1
100210,1,1,1,1,1,90.0,65,5,0
10031,2,1,2,1,2,90.0,63,4,0
10031,2,1,2,1,2,90.0,58,4,0
10033,2,1,2,1,1,1.0,55,5,1
10036,2,2,2,1,2,90.0,59,5,0
10036,2,2,2,1,2,90.0,58,5,0
10036,2,2,2,1,2,90.0,31,5,0
10037,2,2,2,1,2,90.0,69,3,0
10039,1,1,1,1,1,1.0,28,2,1
10041,2,1,1,1,1,90.0,41,5,0
10041,2,1,1,1,1,1.0,39,5,1
10042,2,1,1,1,1,1.0,43,3,1
10042,2,1,1,1,1,90.0,35,3,0
10043,2,2,2,1,1,1.0,40,4,1
10043,2,2,2,1,1,1.0,36,4,1
10044,2,2,2,1,2,90.0,52,3,0
10044,2,2,2,1,2,1.0,27,3,1
10044,2,2,2,1,2,90.0,50,3,0
10044,2,2,2,1,2,90.0,23,3,0
10045,2,1,2,1,1,90.0,66,1,0
10045,2,1,2,1,1,2.0,61,1,1
10045,2,1,2,1,1,90.0,38,1,0
10046,2,2,1,1,1,1.0,35,1,1
10047,2,1,1,1,2,1.0,43,4,1
10047,2,1,1,1,2,90.0,39,4,0
10047,2,1,1,1,2,1.0,19,4,1
10047,2,1,1,1,2,90.0,74,4,0
10048,2,2,2,1,2,90.0,65,4,0
10048,2,2,2,1,2,90.0,58,4,0
10049,2,2,2,1,2,90.0,74,1,0
10049,2,2,2,1,2,90.0,67,1,0
100410,2,2,2,1,2,90.0,68,3,0
100410,2,2,2,1,2,90.0,60,3,0
10051,2,1,1,1,1,1.0,37,5,1
10051,2,1,1,1,1,1.0,22,5,1
10051,2,1,1,1,1,1.0,47,5,1
10052,2,2,2,1,2,90.0,56,2,0
10053,2,2,2,1,2,1.0,33,4,1
10054,2,1,2,1,2,90.0,37,3,0
10055,2,2,2,1,1,1.0,26,3,1
10055,2,2,2,1,1,1.0,31,3,1
10055,2,2,2,1,1,1.0,32,3,1
10056,2,1,1,1,2,2.0,17,3,1
10056,2,1,1,1,2,1.0,21,3,1
10056,2,1,1,1,2,90.0,44,3,0
10057,1,2,2,1,2,90.0,37,2,0
10058,2,2,2,1,2,90.0,60,2,0
10058,2,2,2,1,2,90.0,43,2,0
10059,2,1,2,1,2,90.0,59,4,0
10059,2,1,2,1,2,1.0,35,4,1
10059,2,1,2,1,2,1.0,29,4,1
100510,2,1,2,1,2,3.0,56,5,1
100510,2,1,2,1,2,1.0,20,5,1
100510,2,1,2,1,2,1.0,26,5,1
100510,2,1,2,1,2,90.0,53,5,0
10062,1,1,2,1,1,90.0,58,3,0
10062,1,1,2,1,1,1.0,22,3,1
10062,1,1,2,1,1,90.0,50,3,0
10064,2,1,2,1,2,90.0,62,3,0
10064,2,1,2,1,2,90.0,59,3,0
10064,2,1,2,1,2,1.0,22,3,1
10069,1,1,1,1,1,1.0,27,5,1
10071,2,1,1,1,1,1.0,48,5,1
10071,2,1,1,1,1,1.0,18,5,1
10071,2,1,1,1,1,90.0,47,5,0
10072,1,2,2,1,1,90.0,57,3,0
10072,1,2,2,1,1,2.0,53,3,1
10073,2,2,1,1,1,1.0,39,4,1
10074,2,2,2,1,1,1.0,30,5,1
